,Date,Tweets
58,2022-09-24,"ICAO: A8856D
Flt: UAL2602 #UnitedAirlines #ORD-#MSN
First seen: 2022/09/24 03:09:56
Min Alt: -156 ft AGL
Min Dist: 2.46 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/izOKZiADBT https://t.co/PFeu16DMdH"
59,2022-09-24,"This #UnitedAirlines flight UAL2172, wtf bro.

This pilot had to be new Af. I have never experienced anything like this. Omg get me outta here."
60,2022-09-24,United Airlines to Axe 50 Daily Flights at Newark…About Time a Carrier Stepped Up! https://t.co/w3KQlUwAmi #unitedairlines https://t.co/SmV5A5zJqe
61,2022-09-24,"ICAO: AA568E
Flt: UAL1967 #UnitedAirlines
First seen: 2022/09/24 01:59:38
Min Alt: -156 ft AGL
Min Dist: 2.32 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/vJUf4VwlHm https://t.co/SARWx2ZhnJ"
62,2022-09-24,#UnitedAirlines flight a #UA1877 I need to get a refund. I’ve been here since. 1:30pm it’s 9 PM and I’m still here waiting smh you guys made me miss my grandma and dinner. I was supposed to be there at 4:24  🥲 https://t.co/FXCECSjaFV
63,2022-09-24,"United Airlines Boeing 787 Dreamliner 3D Christmas Sweater
Buy here: https://t.co/VrwlkaGtSE
#UnitedAirlines #Boeing787Dreamliner #3D #Christmas #Sweater https://t.co/kcGt9X89Va"
64,2022-09-24,"United Airlines Boeing 787-9 Dreamliner Ver 3 3D Christmas Sweater
Buy here: https://t.co/lnwpO9R59D
#UnitedAirlines #Boeing7879Dreamliner #3D #Christmas #Sweater https://t.co/wUuI6XZdKs"
65,2022-09-24,What a great game.🔥 #ios #mobilegame #gamedesign #LoAcreativefans #leagueofangels #UnitedAirlines https://t.co/AcCFgBWoWb
66,2022-09-24,I play a lot of games. #NewMobileGame #AndroidGameplay #NewGame #rpggames #winter #UnitedAirlines https://t.co/g5leZa3uun
67,2022-09-24,I hope you like it!! ✧(｡•̀ᴗ-)✧ #NewGame #online #spring #UnitedAirlines https://t.co/lbURVDJG1Y
68,2022-09-23,I’ve never flown first class before but that changes tomorrow! Thanks for the free upgrade @united ! Never flying another carrier again! #UnitedAirlines #flying #firstclass
69,2022-09-23,"ICAO: AA7ABE
Flt: UAL1113 #UnitedAirlines #ORD-#MSP
First seen: 2022/09/23 21:01:37
Min Alt: -156 ft AGL
Min Dist: 0.94 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/2900febufj https://t.co/Bzyr75JaYQ"
70,2022-09-23,RT @Baqir_KPAE: N918BA - @united 737 Max 8 landing back at Paine Field after a short test flight as #BOE306. This aircraft was flown from K…
71,2022-09-23,"ICAO: A3EF7E
Flt: UAL1945 #UnitedAirlines #SEA-#SFO
First seen: 2022/09/23 20:21:15
Min Alt: -181 ft AGL
Min Dist: 1.06 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/BFVk1K03MV https://t.co/9sfxH8PryY"
72,2022-09-23,"RT @_Thirunarayan1: Watch As Sparks Shoot Out Of A #UnitedAirlines Plane After Takeoff 
https://t.co/DI2cTjFXtH 
#Biden #NBC #MSNBC #CNBC #…"
73,2022-09-23,"$UAL  8-K  United Airlines   (23 Sep, 4:15pm)

📰 Departure of Directors or Certain Officers; Election of Directors

https://t.co/GV7Yh8lcGv

#UAL #8K #UnitedAirlines #News"
74,2022-09-23,"Watch As Sparks Shoot Out Of A #UnitedAirlines Plane After Takeoff 
https://t.co/DI2cTjFXtH 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden"
75,2022-09-23,"RT @JohnACrispino: I feel like all airlines are so awful anymore, shit planes, shit service, shit employees just total shit! #americanairli…"
76,2022-09-23,"I feel like all airlines are so awful anymore, shit planes, shit service, shit employees just total shit! #americanairlines #unitedairlines"
77,2022-09-23,"Sparks and falling debris as United Airlines plane takes off from Newark Airport. It dumped fuel and landed safely.

@united @EWRairport @CityofNewarkNJ @NewarkNJPolice #NewarkAirport #flightradar24 #UnitedAirlines @NJGov @USATODAY @USAGov @POTUS @icao @icaomi @USAmbICAO https://t.co/73OtMmI0Vd"
78,2022-09-23,"ICAO: AA7ABE
Flt: UAL1003 #UnitedAirlines #DFW-#EWR
First seen: 2022/09/23 19:26:46
Min Alt: -281 ft AGL
Min Dist: 2.59 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/2900febufj https://t.co/lz8xPkJC1c"
79,2022-09-23,"#aircanada #deltaairlines #southwestairlines #AmericanAirlines #UnitedAirlines All of you are a fucking scam you bunch of regarded greedy fraudsters CEOs, How the  your stock at an all times fucking low, worse than the fucking pandemic you fucking thieves!  Inflation! Fuck off"
80,2022-09-23,"ICAO: A3EF7E
Flt: UAL496 #UnitedAirlines #EWR-#SFO
First seen: 2022/09/23 18:46:03
Min Alt: -281 ft AGL
Min Dist: 2.4 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/BFVk1K03MV https://t.co/ismsVa5P10"
81,2022-09-23,I've wanted to play this game for a long time.🚀🚀🚀🚀🚀  #loa #UnitedAirlines #tRPG https://t.co/JLlA00uckl
82,2022-09-23,I've been waiting for this game for a while. #mobilegame #Gameplay #oninegame #rpg #UnitedAirlines https://t.co/JYT1MHt5Qa
83,2022-09-23,#deltaairlines #southwestairlines #AmericanAirlines #UnitedAirlines #Aircanada #skywestairlines You guys have to come together and boost your fucking stock your share should be at 65 dollars minimum now! No cooperation or association??? WTF You’re in the same boat !!!
84,2022-09-23,"#deltaairlines #southwestairlines #AmericanAirlines #UnitedAirlines #Aircanada #southwestairlines #stocks  Airlines assets have double in price and they’re not declaring that!

Why?? To whose benefit?? What the fuck are doing to investors ??"
85,2022-09-23,"RT @RadarBox24: Data for this flight is available at:
https://t.co/RXnumohVYQ &amp; 

📰:https://t.co/lTvYdtZTw6 

#UnitedAirlines #UA149 #Emerg…"
86,2022-09-23,#deltaairlines #southwestairlines #AmericanAirlines #UnitedAirlines #Aircanada #skywestairlines  Michael Rousseau of Air Canada is another disgusting failure a friend of liberals .. This guy needs to resign
87,2022-09-23,"#deltaairlines #southwestairlines #AmericanAirlines #UnitedAirlines #Aircanada #skywestairlines  This is despicable, insane, disgusting, after two years of serious pandemic time here we go again with FUD and propaganda and lies and investor shaking and disgusting bad news"
88,2022-09-23,"#deltaairlines #southwestairlines #AmericanAirlines #UnitedAirlines #Aircanada #skywestairlines airline CEOs need to be fucking fired and prosecuted for insider trading activity, namely Ed Bastian and for their failure to improve and boost the investors’s confidence ! Fuck offf"
89,2022-09-23,#deltaairlines #southwestairlines #UnitedAirlines #Americanairlines #aircanada fuck all your executives you fucking pigs - you’re getting paid the highest salaries and doing nothing to improve your fucking stock you fucking pigs … fuck you and your fucking top CEOs
90,2022-09-23,The first drawing done on a mobile device💕💕💕💕💕 #AndroidGameplay #android #browsergames #UnitedAirlines #leagueofangels https://t.co/YgdYcA5hug
91,2022-09-23,"Play it, love it!🎮🎮🎮 #android #mobilegame #oninegame #リーグオブエンジェルズ #UnitedAirlines https://t.co/JnQdLrxfHb"
92,2022-09-23,"RT @BreakingVideoHQ: 🚨 BREAKING VIDEO:  United 777 returns safely to Newark Airport following a technical issue, reportedly a problem with…"
93,2022-09-23,Off to a bad start #united #UnitedAirlines https://t.co/gGap0Zd8gN
94,2022-09-23,"#UAL969 (B789): #AMS (Amsterdam) to #SFO (San Francisco, CA). 0.5 mi away @ 15650 ft, climbing 2304 ft/m, heading NE @ 444.0kts / time 15:12:51 #UnitedAirlines #FlyingFast #Venhuizen #RaspberryPi #ADSB #dump1090 https://t.co/kZGS8hm4em"
95,2022-09-23,"Share the #Best #air content
Download the Best #app : https://t.co/29sgyGIwF8
#air #bestair #unitedairlines #united #airlines #together #will #always #remember #airline

https://t.co/sFCBR9Tiwx https://t.co/b2SRS0ObQa"
96,2022-09-23,"#Best of the day on https://t.co/i58m3cZU4Y
United Airlines - Together, we will always remember
https://t.co/BAL82U6sYo
#air #air #bestair #unitedairlines #united #airlines #together #will #always #remember #airline"
97,2022-09-23,"Download the Best #app to share your #Best #air content : https://t.co/3LwU9b70mg
#air #bestair #unitedairlines #united #airlines #together #will #always #remember #airline

https://t.co/S7TGPIfHGc https://t.co/S6Fp6YjWws"
98,2022-09-23,"What's #Best on https://t.co/957FhZ8yFv ?
United Airlines - Together, we will always remember
https://t.co/44QUfCvaZL
#air #air #bestair #unitedairlines #united #airlines #together #will #always #remember #airline"
99,2022-09-23,"Download the Best #app to share your #Best #air content : https://t.co/3LwU9b70mg
#air #bestair #unitedairlines #united #airlines #together #will #always #remember #airline

https://t.co/L9y6RGe4im https://t.co/uqbNz0JKyh"
100,2022-09-23,"Share the #Best #air content
Download the Best #app : https://t.co/29sgyGIwF8
#air #bestair #unitedairlines #united #airlines #together #will #always #remember #airline

https://t.co/v458EiJP4X https://t.co/AhcrYiJ5Hu"
101,2022-09-23,"What's #Best on https://t.co/CDXtJGG5DA ?
United Airlines - Together, we will always remember
https://t.co/zmMJQkbUWA
#air #air #bestair #unitedairlines #united #airlines #together #will #always #remember #airline"
102,2022-09-23,"ICAO: A9D5E4
Flt: UAL506 #UnitedAirlines #MSN-#DEN
First seen: 2022/09/23 12:36:35
Min Alt: -256 ft AGL
Min Dist: 3.01 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/Y8PDXwlITZ https://t.co/NTg9iwsgSk"
103,2022-09-23,"A United Airlines aircraft traveling from Newark Airport in the US to Sao Paolo in Brazil was canceled after it had sparks flying out of one of its engines on departure.
#UnitedAirlines #plane #Newark #USA #Brazil #SaoPaolo https://t.co/FZwR52CzkY"
104,2022-09-23,@united @Boeing  B777-300er(ETOPS Rated ) enroute to San Francisco @flySFO from @SydneyAirport #B777 #UnitedAirlines #boeing #sydneyairport #australia #aviation https://t.co/lc73zmdK2P
105,2022-09-23,"ICAO: A6C247
Flt: UAL2116 #UnitedAirlines #IAH-#SFO
First seen: 2022/09/23 11:43:28
Min Alt: 1269 ft AGL
Min Dist: 2.61 nm

#KMSN #planefence #adsb - docker:kx1t/planefence
https://t.co/fyEqMnLALc https://t.co/myjMELM9N7"
106,2022-09-23,"ICAO: #A43667
Flt: #UAL46 #UnitedAirlines #IAH-#FRA
First seen: 2022/09/23 11:40:44
Min Alt: 10000 ft MSL
Min Dist: 2.87 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/o88sqK09LU https://t.co/sSX4uUO1Kd"
107,2022-09-23,RT @AvSourceNews: #NEWS | The engine woes continue on United Airlines' Boeing 777-200s as UA149 to Sao Paulo returned back to Newark follow…
108,2022-09-23,RT @AvSourceNews: #NEWS | United Airlines' transatlantic operations are at risk of disruption as employees based at Heathrow Airport begin…
109,2022-09-23,RT @Baqir_KPAE: N918BA - @united 737 Max 8 landing back at Paine Field after a short test flight as #BOE306. This aircraft was flown from K…
110,2022-09-23,"Fly with #UnitedAirlines to #NewYork from £506, #SanFrancisco £545, #LosAngeles £626 and #Boston £506. To find out more or book, call 0208 819 9853. Sale ends on 30th September 2022.
#TraveasyUK #Travel2022 #FlashSale https://t.co/zeLloSIngA"
111,2022-09-23,"ICAO: #A05646
Flt: #UAL945 #UnitedAirlines #FRA-#ORD
First seen: 2022/09/23 08:58:56
Min Alt: 10075 ft MSL
Min Dist: 1.89 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/vlme19HwLd https://t.co/Spx98aAeff"
112,2022-09-23,RT @VegasFoodWine: Wines of France &amp; Wines of Germany wines sponsors of the Las Vegas Food &amp; Wine Festival presented by United Airlines htt…
113,2022-09-23,"United 777 returns safely to Newark Airport following a technical issue, reportedly a problem with its hydraulics, causing sparks and falling debris. #Newark #BreakingNews #BREAKING #UnitedAirlines https://t.co/KbBOT1ewKT"
114,2022-09-23,"United Airlines Flight Emits Spark In 
https://t.co/VxJAvNZqVn

#Boeing777 #ConcerningVideo #EmergencyLanding #UnitedAirlines"
115,2022-09-23,False advertising! 🤣 #UnitedAirlines #AirTravel https://t.co/DWK579CovV
116,2022-09-23,"United States: Newark Airport’s New $3 Billion Terminal A Expected to Open in November
https://t.co/yBWmutlfHO
#modalisnewsfeed #airportir #airports #unitedstates #newark #panynj #unitedairlines #ewr #newyork #construction #airportdevelopment"
117,2022-09-23,yippee❤️  #UnitedAirlines #tycoon #oninegame https://t.co/W89KfhAl9j
118,2022-09-23,Thank you for your support!🙉🙉 #mobilegame #Gameplay #UnitedAirlines #リーグオブエンジェルズ #rpggames https://t.co/rxW2OFuL8k
119,2022-09-23,#deltaairlines #unitedairlines #southwestairlines #Americanairlines #Alaskaairlines  what’s happening to the airline stocks is literally insane ..  years of fucking decline and their fleet is getting bigger and bigger .. what the fuck is this bullshit . delta should be at 50 now
120,2022-09-23,Just gonna leave this here United is the worst airline there is including customer service @united #UnitedAirlines
121,2022-09-23,#deltaairlines #unitedairlines #southwestairlines #Americanairlines #Alaskaairlines I don’t get it!!! I fucking don’t!!! Everything is going up in price except airline stocks when we have recovered from the fucking pandemic and at pre pandemic travel numbers and oil stabilized !
122,2022-09-23,"#deltaairlines #unitedairlines #southwestairlines #Americanairlines #Alaskaairlines Ed Bastian is selling stock when the stock is at all times fucking low that piece of fuck .. These CEOs are stealing retail investors money, these fucking pigs .. This is a mid day robbery"
123,2022-09-23,"#deltaairlines #unitedairlines #southwestairlines #Americanairlines #Alaskaairlines  Airline CEOs should all be fired .. This is organized theft and fraud … we are in pre pandemic travel figures, oil prices have stabilized and the stock is at all time fucking low ??? WTF"
124,2022-09-23,"#deltaairlines #unitedairlines #southwestairlines #Americanairlines #Alaskaairlines This is bullshit - this is fucking bullshit !!! Fuck off you fucking pigs, airline CEOs getting paid millions a years and the stock is all fucking times fucking low what the fuckkkk"
125,2022-09-23,#deltaairlines #unitedairlines #southwestairlines #Americanairlines #Alaskaairlines what the fuck are these airline executives doing to this industry ? They are robbing the individual investor ! What the fuck is happening and why the airline stocks are in a continuous decline ??
126,2022-09-23,"RT @ANGRYNIC2: Skybastards #unitedairlines spraying shite over mull of kintyre, Scotland. Was finally clearing of cloud and out come the sc…"
127,2022-09-23,"Video captures hair-raising moment sparks fly and debris falls from #UnitedAirlines Boeing 777 just moments after take-off

https://t.co/GmUemrSLs3"
128,2022-09-23,RT @Baqir_KPAE: N918BA - @united 737 Max 8 landing back at Paine Field after a short test flight as #BOE306. This aircraft was flown from K…
129,2022-09-23,RT @Baqir_KPAE: N918BA - @united 737 Max 8 landing back at Paine Field after a short test flight as #BOE306. This aircraft was flown from K…
130,2022-09-23,Fourth week in a row traveling and #UnitedAirlines #unitedair has always been dealyed no matter from which terminal or airport.  I was leaving #atlantainternational today and all other flights leaving at the same time was on my time. Get your act together #UnitedAirlines
131,2022-09-23,"United Airlines Boeing 737-924ER 3D Christmas Sweater
Link to buy: https://t.co/7ZeltmPhEY
#UnitedAirlines #Boeing737924ER #3D #Christmas #Sweater https://t.co/xiyw2RDulz"
132,2022-09-23,Now I have the distinct pleasure of waiting an hour or more for my bag so I can sleep at a hotel that I am paying for because it’s “out of the airline’s control”.  Please get your fabrications straight #UnitedAirlines
133,2022-09-23,"United Airlines Boeing 777-323ER 3D Christmas Sweater
Link to buy: https://t.co/mZSkyqYmQa
#UnitedAirlines #Boeing777323ER #3D #Christmas #Sweater https://t.co/aKMjZ7lftO"
134,2022-09-23,"RT @RadarBox24: Data for this flight is available at:
https://t.co/RXnumohVYQ &amp; 

📰:https://t.co/lTvYdtZTw6 

#UnitedAirlines #UA149 #Emerg…"
135,2022-09-23,"If #UnitedAirlines really really wants me to check my bag, then don’t charge me $$ to check it. It is really that simple. It’s aggravating that they keep asking for volunteers to check their bag. #rant https://t.co/tGQVNCKz5l"
136,2022-09-23,Better game  #UnitedAirlines #oninegame #onlinegaming https://t.co/sDW97ESUtQ
137,2022-09-23,"RT @BreakingVideoHQ: 🚨 BREAKING VIDEO:  United 777 returns safely to Newark Airport following a technical issue, reportedly a problem with…"
138,2022-09-23,So #UnitedAirlines ..how does this work? First it was weather in Newark.  Now I’m told it’s winds in DC.  But then a flight is leaving for Newark right now.  How is that possible if the conditions are too extreme for my flight to leave..I mean is it because it’s two gates away?
139,2022-09-23,United to End Service Between San Diego and Los Angeles https://t.co/BpEOJrkgF9 #unitedairlines https://t.co/J6cYUxA0Pl
140,2022-09-23,#UnitedAirlines once again you’ve underdelivered.  Why do I bother flying this airline?  Weather…there’s no weather in Newark.
141,2022-09-23,"RT @RadarBox24: Data for this flight is available at:
https://t.co/RXnumohVYQ &amp; 

📰:https://t.co/lTvYdtZTw6 

#UnitedAirlines #UA149 #Emerg…"
